neighborhood,current_price,baseline_cagr,recovery_cagr,peak_price_2022,distance_from_peak,median_nightly_rate,median_monthly_str_income,median_bedrooms,occupancy_rate,listing_count,monthly_mortgage,monthly_property_tax,monthly_insurance,monthly_maintenance,monthly_base_costs,str_utilities,str_cleaning,str_supplies,str_platform_fees,str_additional_costs,str_total_costs,str_monthly_cash_flow,str_annual_cash_flow,str_cash_on_cash_return,estimated_ltr_rent,ltr_effective_rent,ltr_monthly_cash_flow,ltr_annual_cash_flow,ltr_cash_on_cash_return,str_total_invested,str_cumulative_cash_flow,str_appreciation_gain,str_principal_paydown,str_total_return,str_roi_pct,str_annualized_roi,ltr_total_invested,ltr_cumulative_cash_flow,ltr_appreciation_gain,ltr_principal_paydown,ltr_total_return,ltr_roi_pct,ltr_annualized_roi,metro,metro_display,state,has_str_data
North Austin,359390.40755251254,5.693440433505104,-6.829124575418022,481548.2361712563,-25.367724236726296,0.0,0.0,0.0,0.0,0,1912.826679105199,658.8824138462729,149.7460031468802,299.4920062937604,3020.947102392113,200,300,75,0.0,575.0,3595.947102392113,-3595.947102392113,-43151.365228705356,-60.0341082036257,2336.0376490913313,2149.1546371640247,-871.7924652280881,-10461.509582737057,-14.554519768600763,(82659.79373707788+0j),(-215756.82614352676+0j),(67452.65787845565+0j),(16872.40250154771+0j),(-131431.7657635234+0j),(-159.0032588050947+0j),(-27.199754418941534+52.89247446387332j),82659.79373707788,-56662.91036463491,67452.65787845565,16872.40250154771,27662.150015368446,33.46506053880983,5.94330512839345,austin,"Austin, TX",TX,True
West Oak Hill,592991.2108224806,4.505510944885716,-4.370253928876544,751016.975183915,-21.04157024183585,122.0,1724.054794520548,1.0,21.86234817813765,45,3156.1482574361676,1087.1505531745477,247.0796711760336,494.1593423520672,4984.537824138816,200,300,75,51.72164383561644,626.7216438356164,5611.2594679744325,-3887.2046734538844,-46646.45608144661,-39.33149027347963,3557.9472649348836,3273.311483740093,-1711.226340398723,-20534.716084784675,-17.314519768600753,(136387.97848917055+0j),(-233232.28040723305+0j),(111296.32964033831+0j),(27839.325086647237+0j),(-94096.6256802475+0j),(-68.99187650011173+0j),(-20.878393437530562+0j),136387.97848917055,-111222.64599321413,111296.32964033831,27839.325086647237,27913.00873377142,20.46588639480991,3.7941355214250905,austin,"Austin, TX",TX,True
Jollyville,439103.1823946278,4.6322603157795905,-4.624190914663096,562674.3127138453,-21.961395344887748,0.0,0.0,0.0,0.0,0,2337.0915431061244,805.0225010568175,182.9596593310949,365.9193186621898,3690.9930221562263,200,300,75,0.0,575.0,4265.993022156226,-4265.993022156226,-51191.916265874715,-58.291443011984214,2854.1706855650805,2625.8370307198743,-1065.155991436352,-12781.871897236224,-14.554519768600752,(100993.7319507644+0j),(-255959.58132937358+0j),(82413.6541014334+0j),(20614.70055232389+0j),(-152931.2266756163+0j),(-151.4264536240447+0j),(-29.173633915893717+51.45836706417973j),100993.7319507644,-69230.74111603056,82413.6541014334,20614.70055232389,33797.613537726735,33.46506053880993,5.943305128393472,austin,"Austin, TX",TX,True
Windsor Park,448515.5757399178,5.98960045124739,-8.450257015005668,641018.8692342682,-30.030831030653747,114.0,1023.5547826086956,2.0,29.596412556053814,123,2387.188253331959,822.2785555231826,186.88148989163244,373.7629797832649,3770.1112785300393,200,300,75,30.70664347826087,605.7066434782608,4375.8179220083,-3352.2631393996044,-40227.15767279525,-44.84477223163583,2915.3512423094658,2682.1231429247086,-1087.9881356053306,-13055.857627263968,-14.554519768600757,(103158.5824201811+0j),(-201135.78836397623+0j),(84180.23143570614+0j),(21056.586828883504+0j),(-95898.97009938658+0j),(-92.96266762252996+0j),(-41.18587872957965+0j),103158.5824201811,-70714.7362066979,84180.23143570614,21056.586828883504,34522.08205789175,33.46506053880993,5.943305128393472,austin,"Austin, TX",TX,True
East Oak Hill,672169.5583866352,4.8292120856650245,-3.658149060136018,836414.3874404877,-19.636777119109382,0.0,0.0,0.0,0.0,0,3577.5686750249397,1232.3108570421643,280.07064932776467,560.1412986555293,5650.091480050399,200,300,75,0.0,575.0,6225.091480050399,-6225.091480050399,-74701.09776060478,-55.5671532789323,4033.017350319811,3710.3759622942266,-1939.7155177561722,-23276.586213074064,-17.314519768600753,(154598.9984289261+0j),(-373505.48880302394+0j),(126157.02118187863+0j),(31556.533229757333+0j),(-215791.93439138797+0j),(-139.5817156542538+0j),(-32.78649124705032+48.833472565478516j),154598.9984289261,-126073.49902565803,126157.02118187863,31556.533229757333,31640.055385977932,20.465886394809882,3.7941355214250905,austin,"Austin, TX",TX,True
West University,313545.22476630175,3.0910834973925327,-3.0493105398431752,368776.703502239,-14.976943557282475,0.0,0.0,0.0,0.0,0,1668.8193631083052,574.8329120715531,130.64384365262575,261.2876873052515,2635.583806137736,200,300,75,0.0,575.0,3210.583806137736,-3210.583806137736,-38527.00567365283,-61.4377171624422,2038.0439609809612,1875.0004441024844,-760.5833620352514,-9127.000344423017,-14.554519768600763,(72115.4016962494+0j),(-192635.02836826415+0j),(58848.14488960605+0j),(14720.095816475834+0j),(-119066.78766218227+0j),(-165.105906452123+0j),(-25.75251922936692+53.94395237712517j),72115.4016962494,-49434.77787062616,58848.14488960605,14720.095816475834,24133.46283545572,33.46506053880978,5.94330512839345,austin,"Austin, TX",TX,True
Pleasant Valley,256583.5833819946,4.1821871400582245,-9.961246995334616,376585.8357614451,-31.86584331744968,136.0,278.72359550561794,2.0,6.741573033707865,7,1365.6455859684545,470.4032362003234,106.90982640916441,213.81965281832882,2156.778301396271,200,300,75,8.361707865168539,583.3617078651686,2740.14000926144,-2461.416413755822,-29536.996965069862,-57.5582361422866,2052.668667055957,1888.4551736914805,-268.32312770479075,-3219.877532457489,-6.274519768600752,(59014.22417785876+0j),(-147684.9848253493+0j),(48157.22485460332+0j),(12045.90162434394+0j),(-87481.85834640203+0j),(-148.23859766883777+0j),(-30.074339161940976+50.803966397728864j),59014.22417785876,-17439.895319486634,48157.22485460332,12045.90162434394,42763.23115946063,72.46258297080985,11.516460668310181,austin,"Austin, TX",TX,True
Franklin Park,271246.7178336471,6.137078151303688,-10.197049165967641,410511.55304667493,-33.92470545090689,128.5,975.2242480440452,2.5,27.894736842105264,10,1443.6889454711127,497.28564936168635,113.01946576401963,226.03893152803926,2280.0329921248576,200,300,75,29.256727441321356,604.2567274413213,2884.289719566179,-1909.0654715221337,-22908.785658265606,-42.22868730215444,2169.9737426691768,1996.3758432556426,-283.657148869215,-3403.88578643058,-6.274519768600756,(62386.74510173884+0j),(-114543.92829132803+0j),(50909.294389037415+0j),(12734.295919805038+0j),(-50900.33798248558+0j),(-81.58838532043706+0j),(-28.71168076511026+0j),62386.74510173884,-18436.543376707297,50909.294389037415,12734.295919805038,45207.046932135156,72.46258297080985,11.516460668310181,austin,"Austin, TX",TX,True
Downtown,650637.3190409212,3.2352341560357933,-7.176154080138986,854992.9680983569,-23.90144207992211,170.5,2201.8481927710845,2.0,47.79720076659504,92,3462.965054516949,1192.8350849083554,271.09888293371716,542.1977658674343,5469.096788226456,200,300,75,66.05544578313254,641.0554457831325,6110.152234009588,-3908.3040412385035,-46899.64849486204,-36.04131450989851,3903.8239142455272,3591.518001105885,-1877.5787871205707,-22530.94544544685,-17.314519768600753,(149646.58337941187+0j),(-234498.24247431022+0j),(122115.71472677728+0j),(30545.653135670582+0j),(-81836.87461186235+0j),(-54.68676448454174+0j),(-14.641845915079921+0j),149646.58337941187,-122034.86811430304,122115.71472677728,30545.653135670582,30626.499748144823,20.465886394809843,3.7941355214250683,austin,"Austin, TX",TX,True
Riverside,452794.4931966458,6.530288793077821,-7.5182613538349425,613795.6093054557,-26.230411828946075,0.0,0.0,0.0,0.0,0,2409.9624490169745,830.123237527184,188.6643721652691,377.3287443305382,3806.0788030399654,200,300,75,0.0,575.0,4381.078803039965,-4381.078803039965,-52572.945636479584,-58.05387038314475,2943.164205778198,2707.711069315942,-1098.3677337240233,-13180.41280468828,-14.554519768600748,(104142.73343522854+0j),(-262864.7281823979+0j),(84983.32564532728+0j),(21257.47036968934+0j),(-156623.93216738128+0j),(-150.3935291508297+0j),(-29.460463878243715+51.24997289822628j),104142.73343522854,-71389.36722414602,84983.32564532728,21257.47036968934,34851.4287908706,33.46506053880985,5.94330512839345,austin,"Austin, TX",TX,True
