metro,model,n_train,n_test,mape,r2,within_10pct,mape_2025,r2_2025
dallas,rf,8963,2242,0.34572412974530015,0.9963415622872392,99.9107939339875,0.3176898194995451,0.9986349941470491
fort_worth,rf,8654,2164,0.4072723745321552,0.999844806913939,99.95378927911275,0.3076969390691265,0.9996247120740875
san_antonio,rf,5214,1304,0.42215974817854246,0.9962870445469008,99.84662576687117,0.3468387949473227,0.9998874684205689
houston,ridge,3691,923,0.45981661303515636,0.9999519154861102,100.0,0.20866373290747073,0.999978685582208
fort_lauderdale,rf,4007,1002,0.6381567468456646,0.9965009320054926,99.8003992015968,0.590522392595527,0.9891667912907227
jacksonville,xgb,2946,737,0.6496917063755079,0.9986375087710683,99.86431478968792,0.4860735785081289,0.999275092487288
austin,xgb,1077,270,0.6950467787572622,0.9923922076899158,99.62962962962963,0.7460483405543387,0.9978511690967403
tampa,xgb,2154,537,0.7667416632891965,0.9979123700812406,100.0,0.8895678344135228,0.9946247724150111
abilene,ridge,260,65,0.8066458131324392,0.9996706494180885,100.0,1.0014285752228598,0.9993876282161939
orlando,xgb,2118,529,0.8128780024289499,0.9908232719820739,99.62192816635161,0.5074336378269844,0.9990049945884966
GLOBAL,xgb,40024,10007,0.8564307985335253,0.9855899355829719,99.69021684820626,0.8795665904817362,0.9622371993809892
waco,ridge,262,65,0.9230459425102876,0.9993611263142882,100.0,0.8118060776352838,0.9987487888015871
miami,xgb,678,169,1.2700253808485336,0.9986995668119988,100.0,0.6790206998478096,0.9999690056950987
